competitor,comp_path,staples_carries,gold_staples_path,source,labeller,note
WestElm,Kitchen & Dining > Table Linens > Placemats & Chargers,1,Restaurant & Foodservice Supplies > Tabletop > Placemats & Tablecloths,stratified sample,Claude labelling agent (review with team),
WestElm,Pillows & Decor > Featured > Decorative Pillow Inserts,1,Furniture > Decor > Beds & Bedding > Pillows,stratified sample,Claude labelling agent (review with team),judgement: Pillows shelf (accent + bed pillows) is the pillow shelf; no inserts-only shelf
WestElm,Outdoor > Outdoor Dining Furniture > Outdoor Kitchen Furniture,1,Gift Shop > Professional Gifts > Compasses > Patio Furniture,stratified sample,Claude labelling agent (review with team),judgement: outdoor bar/serving carts & counters sit in Patio Furniture
WestElm,Art & Mirrors > Wall Organization & Decor,1,Furniture > Decor > Wall Art > Wall Decals|Furniture > Decor > Wall Art > Wall Art/Decor,stratified sample,Claude labelling agent (review with team),judgement: only child in WestElm tree is Wallpaper & Paneling (peel-and-stick wallpaper on Wall Decals)
WestElm,"Pillows & Decor > Pillows, Throws & Poufs > Poufs & Floor Pillows",1,Furniture > Chairs & Seating > Stools & Ottomans > Ottomans|Furniture > Decor > Beds & Bedding > Pillows,stratified sample,Claude labelling agent (review with team),poufs = ottomans; floor pillows = pillows
WestElm,Furniture > Featured > Furniture Cushions & Slipcovers,0,,stratified sample,Claude labelling agent (review with team),no sofa/chair slipcover or replacement-cushion shelf; Chair Parts has office seat cushions only
WestElm,Furniture > Home Office > Filing Cabinets,1,Furniture > File Cabinets,stratified sample,Claude labelling agent (review with team),
WestElm,Office > Shop By Category > Desk Chairs,1,Furniture > Chairs & Seating > Office Chairs,stratified sample,Claude labelling agent (review with team),
WestElm,Rugs > Custom Sized Rugs,1,Decor > Rugs,stratified sample,Claude labelling agent (review with team),judgement: product type = rugs; custom sizing not offered
WestElm,Window > Window Shades > Custom Curtains & Shades,1,"Furniture > Decor > Curtains, Blinds & Shades",stratified sample,Claude labelling agent (review with team),judgement: product type = curtains/shades; custom sizing not offered
WestElm,"Pillows & Decor > Pillows, Throws & Poufs",1,Furniture > Decor > Beds & Bedding > Pillows|Furniture > Decor > Beds & Bedding > Blankets & Throws,stratified sample,Claude labelling agent (review with team),
WestElm,Kitchen & Dining > Kitchen > Appliances,1,"Appliances & Kitchenware > Small Appliances|Coffee, Water & Snacks > Breakroom Appliances",stratified sample,Claude labelling agent (review with team),
WestElm,Rugs > Rugs By Type > Tufted Rugs,1,Decor > Rugs,stratified sample,Claude labelling agent (review with team),
WestElm,Art & Mirrors > Frames,1,Furniture > Decor > Picture Frames & Photo Albums,stratified sample,Claude labelling agent (review with team),
WestElm,Bath > Bath Linens > Towels,1,Furniture > Decor > Bath Mats & Towels,stratified sample,Claude labelling agent (review with team),shelf is thin (3 items)
WestElm,Rugs > Rugs By Type > Flatweave Rugs,1,Decor > Rugs,stratified sample,Claude labelling agent (review with team),
WestElm,"Pillows & Decor > Pillows, Throws & Poufs > Throws",1,Furniture > Decor > Beds & Bedding > Blankets & Throws,stratified sample,Claude labelling agent (review with team),
WestElm,Art & Mirrors > Art,1,Furniture > Decor > Wall Art,stratified sample,Claude labelling agent (review with team),
WestElm,"Storage > Storage Accessories > Heating, Cooling & Air Quality",1,Facilities > Heating & Cooling|Facilities > Air Quality,stratified sample,Claude labelling agent (review with team),
WestElm,Furniture > Living Room > Recliners,1,"Furniture > Chairs & Seating > Recliners, Gliders & Rockers",stratified sample,Claude labelling agent (review with team),
WestElm,Rugs > Custom Sized Rugs > Custom Rugs,1,Decor > Rugs,stratified sample,Claude labelling agent (review with team),judgement: product type = rugs; custom sizing not offered
WestElm,Storage > Storage Accessories > Pet Accessories,1,Expanded Assortment > Pet Supplies & Accessories,stratified sample,Claude labelling agent (review with team),
WestElm,Pillows & Decor > Featured > Candles & Home Fragrance,1,Furniture > Decor > Candles|Furniture > Decor > Essential Oils & Diffusers,stratified sample,Claude labelling agent (review with team),
WestElm,Outdoor > Outdoor Solutions > Furniture Cushions,0,,stratified sample,Claude labelling agent (review with team),"no outdoor cushion shelf; Patio Furniture sells chairs 'with cushions', not replacement cushions"
WestElm,Pillows & Decor > Room Decor,1,Furniture > Decor > Decorative Accents|Furniture > Decor > Home & Office Decor,stratified sample,Claude labelling agent (review with team),"objects, bowls/boxes, bookends, candles covered; vases not"
WestElm,Bedding > All Bedding > Blankets,1,Furniture > Decor > Beds & Bedding > Blankets & Throws,stratified sample,Claude labelling agent (review with team),
WestElm,Pillows & Decor > Room Decor > Scented Candles,1,Furniture > Decor > Candles,stratified sample,Claude labelling agent (review with team),
WestElm,Storage > Storage Furniture,1,Furniture > Storage Furniture > Shelving|Furniture > Storage Furniture,stratified sample,Claude labelling agent (review with team),only child in WestElm tree is Shelves & Display Ledges; Shelving carries floating wall shelves
WestElm,Storage,1,Furniture > Storage Furniture|Office Supplies > Storage & Organization,stratified sample,Claude labelling agent (review with team),
WestElm,Pillows & Decor > Room Decor > Books & Bookends,1,Office Supplies > Desk Organizers & Accessories > Bookends,stratified sample,Claude labelling agent (review with team),judgement: bookends covered; decorative coffee-table books not
WestElm,Outdoor > Outdoor Dining Furniture > Dining Chairs & Benches,1,Gift Shop > Professional Gifts > Compasses > Patio Furniture,stratified sample,Claude labelling agent (review with team),
WestElm,Art & Mirrors,1,Furniture > Decor > Wall Art|Furniture > Decor > Mirrors,stratified sample,Claude labelling agent (review with team),
WestElm,Furniture > Bedroom > Beds,1,Furniture > Decor > Beds & Bedding > Beds & Mattresses,stratified sample,Claude labelling agent (review with team),
WestElm,Storage > Storage Accessories > Trash Cans,1,Cleaning Supplies > Waste & Recycling > Trash Cans & Recycling Bins,stratified sample,Claude labelling agent (review with team),
WestElm,Pillows & Decor,1,Furniture > Decor,stratified sample,Claude labelling agent (review with team),
WestElm,Art & Mirrors > Mirrors > Floor Mirrors,1,Retail Store Supplies > Store Fixtures & Retail Displays > Floor & Wall Mirrors|Furniture > Decor > Mirrors,stratified sample,Claude labelling agent (review with team),judgement: Floor & Wall Mirrors (store fixtures) is the floor-mirror shelf; Decor Mirrors are wall mirrors
WestElm,Furniture > Dining & Kitchen > Dining Tables,1,Furniture > Home & Office Tables > Breakroom & Dining Tables,stratified sample,Claude labelling agent (review with team),
WestElm,Furniture > Bedroom > Mattresses,1,Furniture > Decor > Beds & Bedding > Beds & Mattresses,stratified sample,Claude labelling agent (review with team),
WestElm,Outdoor > Outdoor Lounge Furniture > Coffee Tables,1,Gift Shop > Professional Gifts > Compasses > Patio Furniture,stratified sample,Claude labelling agent (review with team),
WestElm,Kitchen & Dining > Kitchen > Cutlery & Cutting Boards,1,Appliances & Kitchenware > Kitchenware > Kitchen Tools > Cutting Boards|Appliances & Kitchenware > Kitchenware > Dining & Tableware > Flatware & Cutlery,stratified sample,Claude labelling agent (review with team),Flatware & Cutlery page includes kitchen knife sets
WestElm,Bath > Bath Linens > Shower Curtains,1,Furniture > Decor > Shower Curtains & Accessories,stratified sample,Claude labelling agent (review with team),
WestElm,Furniture > Living Room > Sofas & Loveseats,1,"Furniture > Chairs & Seating > Sofas & Benches > Sofas, Loveseats & Sectionals",stratified sample,Claude labelling agent (review with team),
WestElm,Furniture > Living Room,1,"Furniture > Chairs & Seating > Sofas & Benches > Sofas, Loveseats & Sectionals|Furniture > Chairs & Seating > Accent & Waiting Room Chairs|Furniture > Home & Office Tables > Accent & Coffee Tables",stratified sample,Claude labelling agent (review with team),"no single living-room aisle; split across sofas, accent chairs, accent tables"
WestElm,Lighting > Lamps,1,Furniture > Lamps & Lighting > Table Lamps|Furniture > Lamps & Lighting > Floor Lamps|Furniture > Lamps & Lighting > Desk Lamps,stratified sample,Claude labelling agent (review with team),
WestElm,Furniture > Living Room > Coffee Tables,1,Furniture > Home & Office Tables > Accent & Coffee Tables,stratified sample,Claude labelling agent (review with team),
WestElm,Bedding > Bedding Essentials > Mattress Pads & Toppers,1,Furniture > Decor > Beds & Bedding > Mattress Pads & Toppers,stratified sample,Claude labelling agent (review with team),
WestElm,Lighting > Ceiling Lighting,1,Furniture > Lamps & Lighting > Ceiling Lighting,stratified sample,Claude labelling agent (review with team),
WestElm,Kitchen & Dining > Dinnerware & Flatware > Flatware,1,Appliances & Kitchenware > Kitchenware > Dining & Tableware > Flatware & Cutlery|Restaurant & Foodservice Supplies > Tabletop > Flatware,stratified sample,Claude labelling agent (review with team),
WestElm,Furniture > Living Room > Ottomans & Stools,1,Furniture > Chairs & Seating > Stools & Ottomans,stratified sample,Claude labelling agent (review with team),
WestElm,Lighting > Featured > Light Bulbs & Accessories,1,"Facilities > Commercial Lighting, Ballasts & Bulbs > Light Bulbs|Furniture > Lamps & Lighting > Lighting Controls, Dimmers & Accessories > Lighting Accessories",stratified sample,Claude labelling agent (review with team),
WestElm,Bath > Bathroom Renovation > Bathroom Hardware,0,,stratified sample,Claude labelling agent (review with team),"judgement: Staples 'Bathroom Hardware' = grab bars, drains, water treatment; no towel bar/hook/TP-holder shelf"
WestElm,Furniture > Home Office > Desks,1,Furniture > Desks > Office Desks,stratified sample,Claude labelling agent (review with team),
WestElm,Lighting > Lamps > Floor Lamps,1,Furniture > Lamps & Lighting > Floor Lamps,stratified sample,Claude labelling agent (review with team),
WestElm,Bedding,1,Furniture > Decor > Beds & Bedding,stratified sample,Claude labelling agent (review with team),
WestElm,Outdoor > Outdoor Lounge Furniture > Fire Pits & Tables,1,Gift Shop > Professional Gifts > Compasses > Patio Furniture|Gift Shop > Professional Gifts > Compasses > Outdoor Heaters,gap-enriched sample,Claude labelling agent (review with team),Patio Furniture page lists outdoor firepits
WestElm,Bedding > All Bedding > Comforters,1,Furniture > Decor > Beds & Bedding > Bedding,gap-enriched sample,Claude labelling agent (review with team),Bedding shelf thin (3 items) but on-type
WestElm,Furniture > Bedroom > Dressers,0,,gap-enriched sample,Claude labelling agent (review with team),no dresser shelf (prior OD standard)
WestElm,Office > Shop By Category > Meeting & Lounge Furniture,1,Furniture > Home & Office Tables > Conference Room Tables|Furniture > Chairs & Seating > Accent & Waiting Room Chairs,gap-enriched sample,Claude labelling agent (review with team),
WestElm,Window,1,"Furniture > Decor > Curtains, Blinds & Shades",gap-enriched sample,Claude labelling agent (review with team),"shelf is thin (2 items, curtain rods)"
WestElm,"Pillows & Decor > Garden > Stems, Branches & Bouquets",1,Furniture > Decor > Artificial Plants & Flowers > Artificial Flowers|Furniture > Decor > Artificial Plants & Flowers > Artificial Plants,gap-enriched sample,Claude labelling agent (review with team),faux stems/bouquets = artificial flowers
WestElm,Lighting > Ceiling Lighting > Pendants,1,Furniture > Lamps & Lighting > Ceiling Lighting,gap-enriched sample,Claude labelling agent (review with team),
WestElm,Kitchen & Dining > Drinkware & Barware > Coasters,1,Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware|Gift Shop > Professional Gifts > Bar Accessories,gap-enriched sample,Claude labelling agent (review with team),Tableware and Bar Accessories pages both list coasters
WestElm,Window > Window Shades,1,"Furniture > Decor > Curtains, Blinds & Shades",gap-enriched sample,Claude labelling agent (review with team),shelf is thin (2 items)
WestElm,Bedding > Bedding Essentials > Down Alternative Inserts,1,Furniture > Decor > Beds & Bedding > Bedding|Furniture > Decor > Beds & Bedding > Pillows,gap-enriched sample,Claude labelling agent (review with team),duvet + bed-pillow inserts
WestElm,Bath > Bathroom Renovation > Cabinet Knobs & Pulls,0,,gap-enriched sample,Claude labelling agent (review with team),no cabinet hardware shelf; Door Hardware Push Plates & Pulls is commercial door hardware
WestElm,Kitchen & Dining > Serveware > Picnic Baskets,0,,gap-enriched sample,Claude labelling agent (review with team),"no picnic basket shelf (Camping = tents, coolers)"
WestElm,Furniture > Living Room > TV & Media Consoles,1,Furniture > Carts & Stands > TV Stands|Furniture > Storage Furniture > Media Storage Furniture,gap-enriched sample,Claude labelling agent (review with team),
WestElm,Kitchen & Dining > Serveware > Charcuterie Boards & Knives,1,Appliances & Kitchenware > Kitchenware > Kitchen Tools > Cutting Boards|Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,gap-enriched sample,Claude labelling agent (review with team),judgement: cheese/serving boards on Cutting Boards; serving trays on Tableware
WestElm,Rugs > Rugs By Type > Doormats,1,Facilities > Floor Mats & Flooring > Commercial Floor Mats|Decor > Rugs,gap-enriched sample,Claude labelling agent (review with team),entrance mats
WestElm,Kitchen & Dining > Dinnerware & Flatware > Mugs,1,Appliances & Kitchenware > Kitchenware > Dining & Tableware > Drinkware & Glassware,gap-enriched sample,Claude labelling agent (review with team),Drinkware & Glassware lists coffee mugs
WestElm,Kitchen & Dining > Serveware,1,Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware|Restaurant & Foodservice Supplies > Tabletop > Serveware,gap-enriched sample,Claude labelling agent (review with team),
WestElm,Bedding > Bedding Essentials > Duvet Inserts,1,Furniture > Decor > Beds & Bedding > Bedding,gap-enriched sample,Claude labelling agent (review with team),duvet insert = comforter-type bedding
WestElm,Kitchen & Dining > Dinnerware & Flatware > Dinner Plates,1,Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware|Restaurant & Foodservice Supplies > Tabletop > Dinnerware,gap-enriched sample,Claude labelling agent (review with team),Tableware lists dinnerware sets
WestElm,Bedding > All Bedding > Sheet Sets & Pillowcases,1,Furniture > Decor > Beds & Bedding > Bedding,gap-enriched sample,Claude labelling agent (review with team),judgement: Bedding page does list a fitted sheet + pillowcase (3 items total); consistent with OD gold 'Bed Sheets'=1
