competitor,comp_path,context_path,is_leaf,source,candidates,staples_carries,gold_staples_path,note
WestElm,Outdoor > Planters & Garden > Outdoor Planters,Outdoor > Planters & Garden > Outdoor Planters,True,stratified sample,"Facilities > Grounds Maintenance > Outdoor Tools > Lawn & Garden Tools || Gift Shop > Professional Gifts > Compasses > Outdoor Decor || Furniture > Decor > Wall Art > Garden Landscape || Furniture > Decor > Home & Office Decor > Indoor Fireplaces || Gift Shop > Professional Gifts > Compasses > Patio Furniture || Furniture > Decor > Home & Office Decor > Decorative Baskets, Bowls and Boxes || Furniture > Lamps & Lighting > Outdoor Lighting || Gift Shop > Professional Gifts > Compasses > Outdoor Furniture Covers || Gift Shop > Professional Gifts > Compasses > Outdoor Heaters || Facilities > Grounds Maintenance > Watering Equipment > Lawn Sprinklers || Facilities > Grounds Maintenance > Outdoor Tools || School Supplies > Teacher Supplies > Physical Education & Recreation > Outdoor Games",,,
WestElm,Kitchen & Dining > Drinkware & Barware > Wine & Champagne Glasses,Kitchen & Dining > Drinkware & Barware > Wine & Champagne Glasses,True,stratified sample,"Appliances & Kitchenware > Kitchenware > Dining & Tableware > Drinkware & Glassware || Restaurant & Foodservice Supplies > Tabletop > Bar Glassware || Gift Shop > Professional Gifts > Wine Accessories || Restaurant & Foodservice Supplies > Tabletop > Glassware || Appliances & Kitchenware > Kitchenware > Dining & Tableware > Carafes, Pitchers & Tumblers || Coffee, Water & Snacks > Water & Beverages > Water Bottles, Tumblers & Travel Mugs || Coffee, Water & Snacks > Coffee, Coffee Makers & Supplies > Carafes, Kettles & Decanters || Restaurant & Foodservice Supplies > Smallwares > Wine Stands & Chiller Buckets || Coffee, Water & Snacks > Plates, Cups & Cutlery || Coffee, Water & Snacks > Breakroom Appliances > Drink Makers || Wearable Technology > Camera Glasses || Safety Supplies > Personal Protective Equipment (PPE) > Eye Protection > Safety Glasses, Goggles & Accessories",,,
WestElm,Window > Curtain Rods & Hardware,Window > Curtain Rods & Hardware,False,stratified sample,Facilities > Hardware > Door Hardware > Door Strips || Facilities > Hardware > Door Hardware > Door Stops & Bumpers || Retail Store Supplies > Store Fixtures & Retail Displays > Floor & Wall Mirrors || Retail Store Supplies > Store Fixtures & Retail Displays > Slat-Grid Panels & Accessories || Facilities > Hardware > Door Hardware || Retail Store Supplies > Store Fixtures & Retail Displays > Wire Grid Panels & Accessories || Facilities > Hardware > Door Hardware > Push Plates & Pulls || Facilities > Hardware > Ceiling || Furniture > Cubicle & Panel Systems > Desktop Privacy Panels || Retail Store Supplies > Store Fixtures & Retail Displays > Slatwall Panels & Accessories || Facilities > Plumbing > Bathroom Hardware || Retail Store Supplies > Sewing & Tailoring > Handbag Hardware,,,
WestElm,Lighting > Ceiling Lighting > Chandeliers,Lighting > Ceiling Lighting > Chandeliers,True,stratified sample,Furniture > Lamps & Lighting > Ceiling Lighting || Furniture > Lamps & Lighting > Wall Lamps || Furniture > Lamps & Lighting > Floor Lamps || Furniture > Lamps & Lighting || Furniture > Lamps & Lighting > Accent Lighting || Furniture > Lamps & Lighting > Outdoor Lighting || Furniture > Lamps & Lighting > Lamp Shades || Furniture > Lamps & Lighting > Table Lamps || Furniture > Lamps & Lighting > Desk Lamps || Furniture > Lamps & Lighting > Specialty Lighting || Facilities > Hand & Power Tools > Hand Tools > Pliers || Retail Store Supplies > Store Fixtures & Retail Displays > Merchandisers,,,
WestElm,Lighting > Sconces > Sconces,Lighting > Sconces,True,stratified sample,"Furniture > Lamps & Lighting > Ceiling Lighting || Furniture > Lamps & Lighting > Wall Lamps || Furniture > Lamps & Lighting > Outdoor Lighting || Furniture > Lamps & Lighting > Accent Lighting || Furniture > Lamps & Lighting > Lamp Shades || Furniture > Lamps & Lighting > Lighting Controls, Dimmers & Accessories > Lighting Accessories || Furniture > Lamps & Lighting > Lighting Controls, Dimmers & Accessories || Furniture > Lamps & Lighting > Floor Lamps || Furniture > Lamps & Lighting || Furniture > Lamps & Lighting > Desk Lamps || Restaurant & Foodservice Supplies > Concession Stand Supplies || Appliances & Kitchenware > Small Appliances",,,
WestElm,Window > Window Shades > Window Shades,Window > Window Shades,True,stratified sample,"Furniture > Decor > Curtains, Blinds & Shades || Furniture > Decor > Seasonal Decor > Window & Wall Decor & Signs || Retail Store Supplies > Store Fixtures & Retail Displays > Floor & Wall Mirrors || Furniture > Cubicle & Panel Systems > Desktop Privacy Panels || Furniture > Lamps & Lighting > Lamp Shades || Facilities > Hardware > Ceiling > Ceiling Tiles || Retail Store Supplies > Store Fixtures & Retail Displays > Slat-Grid Panels & Accessories || Facilities > Hardware > Door Hardware > Door Strips || Furniture > Decor > Shower Curtains & Accessories || Furniture > Decor > Mirrors || Computers & Accessories > Windows 10 PCs || Computer Software > Windows Operating Systems",,,
WestElm,Bedding > All Bedding > Duvet Covers & Shams,Bedding > Duvet Covers & Shams,True,stratified sample,Furniture > Decor > Beds & Bedding > Bedding || Furniture > Decor > Beds & Bedding > Pillows || Furniture > Decor > Beds & Bedding || Furniture > Decor > Beds & Bedding > Mattress Pads & Toppers || Furniture > Decor > Beds & Bedding > Blankets & Throws || Furniture > Decor > Beds & Bedding > Beds & Mattresses || Furniture > Decor > Beds & Bedding > Headboards || Retail Store Supplies > Spa & Salon > Spa & Massage > Pillows & Pillow Cover || Retail Store Supplies > Spa & Salon > Spa & Massage > Sheets & Linens || Furniture > Decor > Bath Mats & Towels || Safety Supplies > Personal Protective Equipment (PPE) > Shoe Covers || Facilities > Paint Supplies > Paint Accessories > Roller Covers,,,
WestElm,Lighting > Sconces,Lighting > Sconces,False,stratified sample,"Furniture > Lamps & Lighting > Ceiling Lighting || Furniture > Lamps & Lighting > Wall Lamps || Furniture > Lamps & Lighting > Outdoor Lighting || Furniture > Lamps & Lighting > Accent Lighting || Furniture > Lamps & Lighting > Lamp Shades || Furniture > Lamps & Lighting > Lighting Controls, Dimmers & Accessories > Lighting Accessories || Furniture > Lamps & Lighting > Lighting Controls, Dimmers & Accessories || Furniture > Lamps & Lighting > Floor Lamps || Furniture > Lamps & Lighting || Furniture > Lamps & Lighting > Desk Lamps || Restaurant & Foodservice Supplies > Concession Stand Supplies || Appliances & Kitchenware > Small Appliances",,,
WestElm,Pillows & Decor > Room Decor > Vases,Pillows & Decor > Room Decor > Vases,True,stratified sample,"Furniture > Decor > Home & Office Decor > Decorative Baskets, Bowls and Boxes || Furniture > Decor > Candles || Furniture > Decor > Seasonal Decor > Figurines & Tabletop Decor || Furniture > Decor > Home & Office Decor > Decorative Plates || Decor || Furniture > Decor > Seasonal Decor > Ornaments & Tree Decor || Furniture > Decor > Shower Curtains & Accessories || Furniture > Decor > Decorative Accents || Furniture > Decor > Seasonal Decor > Standing Decor || Decor > Rugs || Furniture > Home & Office Tables > Table Components > Table Bases || TV & Streaming Media > DJ Equipment & Musical Instruments > Music Cases",,,
WestElm,Art & Mirrors > Wall Organization & Decor > Wallpaper & Paneling,Art & Mirrors > Wall Organization & Decor > Wallpaper & Paneling,True,stratified sample,"Furniture > Decor > Wall Art || Furniture > Decor > Wall Art > Wall Art/Decor || Furniture > Decor > Wall Art > Wall Decals || Furniture > Decor > Seasonal Decor > Window & Wall Decor & Signs || Furniture > Decor > Wall Art > Framed Posters || Furniture > Decor > Decorative Accents || Furniture > Decor > Home & Office Decor > Accent Room Dividers || Furniture > Decor > Shower Curtains & Accessories || Furniture > Decor > Home & Office Decor > Decorative Plates || Furniture > Decor > Curtains, Blinds & Shades || Paper || Gift Shop > Professional Gifts > Compasses > Solar Panels",,,
WestElm,Office > Shop By Category > Rugs & Carpet Tiles,Office > Rugs & Carpet Tiles,True,stratified sample,Furniture > Home & Office Tables || Furniture > Standing Desk Mats || Furniture > Decor > Home & Office Decor > Home & Office Bars || Facilities > Floor Mats & Flooring > Commercial Floor Mats || Furniture > Decor > Home & Office Decor || Furniture > Chairs & Seating > Office Chairs || Cleaning Supplies > Floor & Carpet Cleaning Equipment > Floor Pads || Cleaning Supplies > Floor & Carpet Cleaning Equipment > Floor Machines & Burnishers || Office Supplies || Furniture > Chair Mats || Decor > Rugs || Cleaning Supplies > Cleaning Chemicals & Wipes > Carpet Care,,,
WestElm,Lighting > Ceiling Lighting > Flush Mounts,Lighting > Ceiling Lighting > Flush Mounts,True,stratified sample,"Furniture > Lamps & Lighting > Ceiling Lighting || Furniture > Lamps & Lighting > Wall Lamps || Furniture > Lamps & Lighting > Under Cabinet Lighting || Facilities > Hardware > Ceiling || Facilities > Plumbing > Tubs and Showers > Wall Mounted Shower Heads || Furniture > Lamps & Lighting > Lighting Controls, Dimmers & Accessories > Lighting Accessories || Furniture > Lamps & Lighting > Floor Lamps || Facilities > Hardware > Ceiling > Ceiling Tiles || Furniture > Lamps & Lighting > Lighting Controls, Dimmers & Accessories || Furniture > Lamps & Lighting > Outdoor Lighting || Facilities > Plumbing > Toilets and Urinals > Flush Valves || TV & Streaming Media > TV & Video > TV Wall Mounts",,,
WestElm,Kitchen & Dining > Kitchen > Kitchen Towels & Pot Holders,Kitchen & Dining > Kitchen > Kitchen Towels & Pot Holders,True,stratified sample,"Appliances & Kitchenware > Kitchenware > Kitchen Tools > Kitchen Pizza Tools || Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Kitchen Storage & Organization || Appliances & Kitchenware > Kitchenware > Kitchen Tools > Cooking Utensils || Appliances & Kitchenware > Kitchenware > Kitchen Tools > Pots & Pans || Restaurant & Foodservice Supplies > Restaurant Storage & Transport > Kitchen Racks || Appliances & Kitchenware > Kitchenware > Kitchen Accessories || Furniture > Decor > Bath Mats & Towels || Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Cookbooks & Recipe Holders || Appliances & Kitchenware > Kitchenware > Kitchen Tools || Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Oven Mitts & Potholders || Coffee, Water & Snacks > Paper Products > Paper Towels",,,
WestElm,Kitchen & Dining > Drinkware & Barware > Bar Tools,Kitchen & Dining > Drinkware & Barware > Bar Tools,True,stratified sample,"Restaurant & Foodservice Supplies > Tabletop > Bar Glassware || Appliances & Kitchenware > Kitchenware > Kitchen Tools > Kitchen Pizza Tools || Gift Shop > Professional Gifts > Bar Accessories || Restaurant & Foodservice Supplies > Bar Supplies || Appliances & Kitchenware > Kitchenware > Kitchen Tools > Kitchen Tools & Gadgets || Appliances & Kitchenware > Kitchenware > Kitchen Tools || Restaurant & Foodservice Supplies > Smallwares > Commercial Kitchen Tools || Restaurant & Foodservice Supplies > Commercial Restaurant Equipment > Kitchen Work & Prep Tables || Restaurant & Foodservice Supplies > Restaurant Storage & Transport > Kitchen Racks || Appliances & Kitchenware > Kitchenware > Dining & Tableware > Drinkware & Glassware || Tools, Parts & Supplies > Hand Tools || Facilities > Hand & Power Tools > Hand Tools",,,
WestElm,Furniture > Living Room > End & Side Tables,Furniture > Living Room > End & Side Tables,True,stratified sample,"Furniture > Home & Office Tables > Training Room Tables || Furniture > Home & Office Tables > Conference Room Tables || Furniture > Home & Office Tables > Table Components || Furniture > Home & Office Tables > Accent & Coffee Tables || Furniture > Home & Office Tables > Classroom & Kids' Tables || Furniture > Home & Office Tables || Furniture > Decor > Home & Office Decor > Living Room Accents || Furniture > Chairs & Seating > Accent & Waiting Room Chairs || Furniture > Home & Office Tables > Table Components > Table Tops || Furniture > Home & Office Tables > Folding Tables || Tools, Parts & Supplies > End Brushes || Facilities > Hand & Power Tools > Tool Storage > Tool Chests & Side Cabinets",,,
WestElm,Window > Curtains > Patterned Curtains,Window > Curtains > Patterned Curtains,True,stratified sample,"Furniture > Decor > Curtains, Blinds & Shades || Furniture > Decor > Shower Curtains & Accessories || Furniture > Decor > Seasonal Decor > Window & Wall Decor & Signs || Decor > Rug Pads || Furniture > Decor > Bath Mats & Towels || Furniture > Decor > Decorative Accents || Furniture > Decor > Beds & Bedding > Pillows || Furniture > Decor > Home & Office Decor > Accent Room Dividers || Furniture > Decor > Home & Office Decor > Decorative Plates || Retail Store Supplies > Sewing & Tailoring > Fabric || Retail Store Supplies > Sewing & Tailoring > Patterns & Sewing Books || Facilities > Hardware > Chain, Rope & Tie Downs > Chains",,,
WestElm,Kitchen & Dining > Serveware > Serving Bowls,Kitchen & Dining > Serveware > Serving Bowls,True,stratified sample,"Coffee, Water & Snacks > Plates, Cups & Cutlery || Appliances & Kitchenware > Kitchenware > Kitchen Tools > Mixing Bowls || Furniture > Decor > Home & Office Decor > Decorative Baskets, Bowls and Boxes || Restaurant & Foodservice Supplies > Restaurant Storage & Transport > Chafing Dishes & Buffet Accessories || Coffee, Water & Snacks > Single Serve Coffee, Tea & Cocoa || Party Supplies > Disposable Bowls || Appliances & Kitchenware > Kitchenware > Dining & Tableware > Salt and Pepper Shakers & Mills || Restaurant & Foodservice Supplies > Commercial Restaurant Equipment > Kitchen Work & Prep Tables || Appliances & Kitchenware > Kitchenware > Kitchen Tools > Salad Spinners || Restaurant & Foodservice Supplies > Restaurant Storage & Transport > Kitchen Racks || Computers & Accessories > Servers & Accessories > Servers || Restaurant & Foodservice Supplies > Tabletop > Serveware",,,
WestElm,Window > Curtain Rods & Hardware > Curtain Rods & Hardware,Window > Curtain Rods & Hardware,True,stratified sample,Facilities > Hardware > Door Hardware > Door Strips || Facilities > Hardware > Door Hardware > Door Stops & Bumpers || Retail Store Supplies > Store Fixtures & Retail Displays > Floor & Wall Mirrors || Retail Store Supplies > Store Fixtures & Retail Displays > Slat-Grid Panels & Accessories || Facilities > Hardware > Door Hardware || Retail Store Supplies > Store Fixtures & Retail Displays > Wire Grid Panels & Accessories || Facilities > Hardware > Door Hardware > Push Plates & Pulls || Facilities > Hardware > Ceiling || Furniture > Cubicle & Panel Systems > Desktop Privacy Panels || Retail Store Supplies > Store Fixtures & Retail Displays > Slatwall Panels & Accessories || Facilities > Plumbing > Bathroom Hardware || Retail Store Supplies > Sewing & Tailoring > Handbag Hardware,,,
WestElm,Furniture > Living Room > Console & Sofa Tables,Furniture > Living Room > Console & Sofa Tables,True,stratified sample,Furniture > Chairs & Seating > Accent & Waiting Room Chairs || Furniture > Home & Office Tables || Furniture > Standing Desk Mats || Furniture > Home & Office Tables > Training Room Tables || Furniture > Home & Office Tables > Folding Tables || Furniture > Chairs & Seating > Gaming Chairs || Furniture > Home & Office Tables > Accent & Coffee Tables || Furniture > Home & Office Tables > Conference Room Tables || Furniture > Chairs & Seating || Furniture > Home & Office Tables > Breakroom & Dining Tables || Gaming > Gaming Consoles || Gaming > Handheld Consoles,,,
WestElm,Art & Mirrors > Art > Dimensional Art,Art & Mirrors > Art > Dimensional Art,True,stratified sample,Furniture > Decor > Wall Art > Abstract Art || Furniture > Decor > Wall Art > Nature Landscape Art || Furniture > Decor > Wall Art > Contemporary Art || Furniture > Decor > Wall Art > Animal Art || Furniture > Decor > Wall Art > Sports Art || Furniture > Decor > Wall Art > Art by Famous Artists || Furniture > Decor > Wall Art > Music Art || Furniture > Decor > Wall Art > Floral Art || Furniture > Decor > Wall Art > Kids & Whimsical Art || Furniture > Decor > Wall Art > Map Art || Furniture > Decor > Wall Art > Motivational Art || Furniture > Decor > Wall Art,,,
WestElm,Pillows & Decor > Room Decor > Decorative Objects,Pillows & Decor > Room Decor > Decorative Objects,True,stratified sample,"Furniture > Decor > Home & Office Decor > Decorative Plates || Furniture > Decor > Home & Office Decor > Decorative Baskets, Bowls and Boxes || Furniture > Decor > Seasonal Decor > Window & Wall Decor & Signs || Furniture > Decor > Wall Art || Furniture > Decor > Decorative Accents || Furniture > Decor > Wall Art > Wall Art/Decor || Furniture > Decor > Seasonal Decor > Ornaments & Tree Decor || Furniture > Decor > Seasonal Decor > Standing Decor || Furniture > Decor > Shower Curtains & Accessories || Furniture > Decor > Home & Office Decor > Accent Room Dividers || Retail Store Supplies > Retail Packaging > Decorative Shipping Boxes || School Supplies > Teacher Supplies > Classroom Decorations > Decorative Accents & Board Sets",,,
WestElm,Pillows & Decor > Room Decor > Jewelry Storage,Pillows & Decor > Room Decor > Jewelry Storage,True,stratified sample,"Furniture > Decor > Home & Office Decor || Furniture > Decor > Home & Office Decor > Decorative Baskets, Bowls and Boxes || Furniture > Decor > Shower Curtains & Accessories || Furniture > Decor > Bath & Shower Accessories || Furniture > Storage Furniture > Clothing Racks & Closet Organization || Furniture > Decor > Home & Office Decor > Accent Room Dividers || Furniture > Decor || Furniture > Decor > Home & Office Decor > Decorative Plates || Furniture > Decor > Home & Office Decor > Living Room Accents || Furniture > Decor > Home & Office Decor > Accent Furniture || Gift Shop > Home, Personal & Travel > Jewelry Boxes & Cases || Office Supplies > Folders & Filing > File Storage",,,
WestElm,Outdoor > Outdoor Lounge Furniture > Side Tables,Outdoor > Outdoor Lounge Furniture > Side Tables,True,stratified sample,Furniture > Home & Office Tables > Folding Tables || Furniture > Home & Office Tables > Accent & Coffee Tables || Furniture > Home & Office Tables > Training Room Tables || Furniture > Home & Office Tables > Table Components > Table Tops || Gift Shop > Game Room & Toys > Game Room > Pool Tables & Accessories || Furniture > Chairs & Seating > Accent & Waiting Room Chairs || Furniture > Home & Office Tables > Conference Room Tables || Furniture > Home & Office Tables > Table Components || Furniture > Home & Office Tables > Breakroom & Dining Tables || Furniture > Home & Office Tables || Facilities > Hand & Power Tools > Tool Storage > Tool Chests & Side Cabinets || Retail Store Supplies > Spa & Salon > Spa & Massage > Massage Tables,,,
WestElm,Outdoor > Outdoor Lounge Furniture,Outdoor > Outdoor Lounge Furniture,False,stratified sample,Furniture > Decor > Home & Office Decor > Indoor Fireplaces || Furniture > Lamps & Lighting > Outdoor Lighting || Gift Shop > Professional Gifts > Compasses > Outdoor Decor || Gift Shop > Professional Gifts > Compasses > Outdoor Furniture Covers || Gift Shop > Professional Gifts > Compasses > Patio Furniture || Furniture > Chairs & Seating || Furniture > Chairs & Seating > Breakroom & Dining Chairs || Facilities > Grounds Maintenance > Outdoor Tools || Healthcare Supplies > Durable Medical Equipment > Shower & Bath Aids > Shower Chairs / Benches || Gift Shop > Game Room & Toys > Game Room > Pool Tables & Accessories || Furniture || Furniture > Storage Furniture,,,
WestElm,Storage > Storage Accessories > Travel & Commuting,Storage > Storage Accessories > Travel & Commuting,True,stratified sample,"Bags, Backpacks & Luggage > Luggage & Travel Accessories > Travel Accessories > Personal Travel Accessories || Bags, Backpacks & Luggage > Luggage & Travel Accessories > Travel Accessories || Bags, Backpacks & Luggage > Luggage & Travel Accessories > Travel Accessories > Toiletry Bags, Packing Cubes & Travel Pouches || Bags, Backpacks & Luggage > Luggage & Travel Accessories > Travel Accessories > Luggage Tags, Locks & Covers || Bags, Backpacks & Luggage > Luggage & Travel Accessories || Office Supplies > Storage & Organization > Storage Bins || Restaurant & Foodservice Supplies > Restaurant Storage & Transport > Food Storage & Containers || Furniture > Storage Furniture > Electronics & Computer Storage Units || Office Supplies > Storage & Organization > Storage Baskets || Office Supplies > Storage & Organization > Storage Furniture || Gift Shop > Home, Personal & Travel || Coffee, Water & Snacks > Water & Beverages > Water Bottles, Tumblers & Travel Mugs",,,
WestElm,Window > Curtains > Solid Curtains,Window > Curtains > Solid Curtains,True,stratified sample,"Furniture > Decor > Curtains, Blinds & Shades || Furniture > Decor > Shower Curtains & Accessories || Furniture > Decor > Seasonal Decor > Window & Wall Decor & Signs || Furniture > Decor > Home & Office Decor > Accent Room Dividers || Furniture > Cubicle & Panel Systems || Furniture > Storage Furniture > Coat Trees, Stands & Hooks || Furniture > Decor > Bath Mats & Towels || Furniture > Decor > Beds & Bedding > Blankets & Throws || Retail Store Supplies > Store Fixtures & Retail Displays > Floor & Wall Mirrors || Decor > Rug Pads || Hard Drives & Data Storage > Solid State Drives || Facilities > Hardware > Chain, Rope & Tie Downs > Chains",,,
